label_cleaned,altLabels
administer hydrotherapy,provide hydrotherapy administer hydrotherapies formulate plans on hydrotherapy treatment administer hydrotherapy
consult with sound editor,discuss with sound editor confer with sound editor consult with sound editor consult with sound editors consulting with sound editor review with sound editor
seal flooring,sealing flooring apply floor sealant seal flooring apply sealant to floor sealing of floor applying floor sealant applying flooring sealant apply sealant to flooring sealing of flooring floor sealing sealing floor apply flooring sealant
plan maintenance activities,plan routine maintenance activities plan maintenance activities plan activities of maintenance planning maintenance activities organise maintenance tasks
advise on hazards of heating systems,advise on potential safety hazard concerning heating systems advise on potential heating systems safety hazards give advice on potential safety hazards concerning heating systems advise on potential safety risks concerning heating systems advise on potential safety hazards concerning heating systems give recommendations on potential safety hazards concerning heating systems offer suggestions on potential safety hazards concerning heating systems advise on potential safety dangers concerning heating systems advise on potential safety hazards concerning heating system advising on potential safety hazards concerning heating systems
plot show control cues,nan
clean horse's legs,cleaning legs of a horse washing legs of a horse wash legs of a horse clean legs of a horse horse's legs cleaning washing horse's legs wash horse's legs cleaning horse's legs clean horse's legs horse's legs washing
use computer programs to improve patients' skills,use IT programmes to improve patients' skills use computer programmes to improve patients' skills use computer programs to improve patients' skills utilise computer-based programmes to improve patients' abilities use computer programme to improve patient's skills utilize computer-based programs to improve patients' abilities
check in passengers,check in passengers perform passenger check in activities perform passenger check in execute passenger check in operations register travellers conduct passenger check in undertake passenger check in activities check in travellers carry out passenger check in activities register passengers
prepare youths for adulthood,prepare youth for becoming adults prepare youths for adulthood get youth ready for adulthood prime youth for adulthood prepare youth to become adults
traditional wood caulking materials,traditional wood caulking materials usual wood caulking materials traditional materials for wood caulking standard wood caulking sealants established wood caulking materials traditional materials suited for wood caulking conventional wood caulking materials well-known wood caulking materials long-established wood caulking materials traditional wood caulking sealants traditional wood caulking substances common wood caulking materials
estimate impact of risks,calculate impact of risks analyse impact of financial risks determine risks impact analyse impact of non-financial risks
depreciation,decrease in value depreciation devaluation
study court hearings,study court hearing read court hearings studying court hearings study court hearings understand court hearings
prepare equipment for harvest,preparing equipment for harvest prepare harvesting equipment maintaining equipment for harvest maintaining harvesting equipment maintain equipment for harvest maintain harvesting equipment prepare equipment for harvest preparing harvesting equipment
inform customers of activity changes,inform customers of activity changes and cancellations communicate flight schedule deviations inform customers with changes in activity inform customers of changes in activities inform customers of activity changes
transfer patients to and from ambulance vehicles,transfer patients securely to and from ambulance vehicles drive client to and from ambulance vehicle take care of patients during transport to and from ambulance vehicles drive  clients safely to and from ambulance vehicles transfer patients to and from ambulance vehicles transfer patients to and from ambulance cars transfer clients to and from ambulance vehicles transfer securely patient to and from ambulance vehicle transfer patient securely to and from ambulance car transfer client securely to and from ambulance vehicle
evidence-based radiography practice,proven clinical expertise in radiography practices radiography practice based on proven clinical expertise evidence-based radiography praxis evidence-based radiography performance evidence-based radiography practice evidence-based radiography process evidence-based radiography methods evidence-based radiography processes evidence-based radiography method
operate longwall mining equipment,operate longwall mining equipment operate shearers and ploughs operating of longwall mining equipment operate shearers and plows operating shearers and ploughs longwall mining equipment operation operating heavy mining equipment operate heavy mining equipment operating longwall mining equipment operation of longwall mining equipment operating shearers and plows
electrooptics,field of electrooptics electro-optics science of optical radiation science of electrooptics science of electro-optics electrooptics study of optical radiation field of electro-optics physics of electrooptics physics of electro-optics control of optical radiation
write database documentation,write database documentation provide database documentation
place bets,take a chance on winning place a bet placing a bet place bets make bets
apply social media marketing,utilise social media marketing administer social media marketing social media marketing application implement social media marketing apply social media marketing employ social media marketing application of social media marketing applying social media marketing
select photos,select a photo select photographs choose pictures review images select photos
identify technical resources for performances,identify technical resources for work reconstruction identify technical equipment needed to reconstruct a work identify technical resources required to construct a work identify technical resources needed for performances identify technical resources required to reconstruct a work
repair furniture frames,repairing furniture frames fix furniture frames repair furniture frames overhaul furniture frames repair a furniture frame adjust furniture frames mend furniture frames
assess customers,appraise customers assessing customers judge customers check customers assessing a customer assess a customers assess customers test customers
telugu,ability to comprehend spoken and written Telugu and to speak and write in Telugu Telugu competent in Telugu
understand spoken english,listen to English understanding spoken English comprehend spoken English understand English speech make sense of spoken English understand spoken English interpret spoken English
work with the director of photography,work with the directors of photography cooperate with the director of photography co-operate with the director of photography work with the director of photography working with the director of photography collaborate with the director of photography
manage logs transfer,manage log transfers supervise logs transfer managing logs transfer manage logs transfer oversee logs transfer direct logs transfer run logs transfer
coordinate purchasing activities,sustain purchasing activities coordinating purchasing activities manage purchasing activities coordination of purchasing activities preserve purchasing activities coordinate purchasing activities coordinate purchasing activity control purchasing activities
create animal structure,create animal structure construct animal structure build animal structure create animal structures create an animal structure make animal structure produce animal structure
carry out repair of vehicles,carry out repair of vehicles carry out a repair of vehicles carry out vehicle repairs oversee repair of vehicles carry out repair of a vehicle make repair of vehicles complete repair of vehicles undertake repair of vehicles
read technical datasheet,read technical datasheets reading technical datasheet examine technical datasheet read technical dossier read technical data sheet read technical datasheet study technical datasheet
evaluate clients' progress,evaluate client's progress evaluating  evaluate clients' progress assess clients' progress evaluate clients' advancement evaluate clients' progress assess clients' advancement
host wine-tasting events,hold a wine-tasting event hosting wine-tasting events hold wine-tasting events host wine-tasting events organise wine-tasting events host a wine-tasting event arrange wine-tasting events
adapt a script,adapt a film script modify a script reorganize a script rewrite a script reorganise a script adapt a play adapt a written text restructure a script adapt a script
ensure gambling operational standards,maintaining operational standards maintain standards of operation keep operational standards high sustain operational standards keep up operational standards maintain operational standards
manipulate glass,manipulate glass use glass shape glass manipulate glasses mould  glass manipulating glass utilise glass
communicate technicalities with clients,communicate technicalities with clients discuss  technicalities with clients communicate technicalities with a client make suggestions  technicalities with clients make contact  technicalities with clients speak about  technicalities with clients
calibrate precision instrument,calibrate precision instrument precision instruments examining precision instrument calibrating examining precision instruments precision instruments calibrating examine precision instruments precision instrument inspecting inspecting precision instruments inspect precision instruments precision instruments inspecting calibrating precision instruments precision instrument examining
respond to electrical power contingencies,electrical power contingency managing electrical power contingency responding managing electrical power contingencies manage electrical power contingencies responding to electrical power contingencies electrical power contingencies managing respond to electrical power contingencies electrical power contingencies responding
inspect carrier documents,inspect official written and digital carrier documentation review carrier documentation inspect carrier documentation perform inspections of carrier documentation perform inspections of carrier documents examine carrier documents examine carrier documentation inspect carrier documents check carrier documents conduct inspections of carrier documents carry out inspections of official written and digital carrier documents conduct inspections of carrier documentation check carrier documentation review carrier documents
work closely with news teams,work closely with news team work closely with news teams join forces with news teams working closely with news teams collaborate with news teams
support social service users to manage their financial affairs,advise social service users on budgetary issues support health care users in managing their financial affairs support a social service user to manage their financial affairs support social service users to manage their financial affairs support a social service user to manage his/her financial affairs support social service users to manage their finances
evaluate budgets,evaluate budget review budgets assess budgets evaluate budgets analyse budgets
prepare stone for smoothing,readying stone for smoothing prepare stone for smoothing stone preparing for smoothing ready stone for smoothing preparing stone for smoothing get stone ready for smoothing
dietary regimes,dietary regimes allergy dietary regimes diet regimes cultural dietary regimes dietary regime religious dietary regimes
use repair manuals,interpret repair manuals use repair manuals
perform feasibility study on solar heating,do a feasibility study on solar heating systems carry out feasibility study on solar heating systems
maintain material handling equipment,maintain functionality of equipment used for material handling preserve functionality of material handling equipment maintain functionality of material handling equipment ensure material handling equipment in maintained preserve condition of material handling equipment execute material handling equipment maintenance maintain condition of material handling equipment perform maintenance activities for material handling equipment maintain material handling equipment undertake material handling equipment maintenance activities carry out material handling equipment maintenance perform maintenance on material handling equipment maintain equipment for material handling
parking regulations,parking enforcement management parking enforcement rules parking management parking controls parking enforcement  controls parking rules parking regulations
label components,label components label accessories label goods labelling components label materials label a component label parts
promote organisational communication,encourage creative processes foster organisational communication promote communication within organisation promoting organisational communication promote organizational  communication inspire organisational communication
recruit personnel,personnel recruiting recruit personnel personnel hiring recruiting personnel hire personnel hiring personnel
perform refrigerant leak checks,check air condition leakages control refrigerant leakages
support individuals on nutrition changes,support individuals on nutritional changes support individuals on nutrition changes encourage individuals to keep nutritional goals support an individual on nutrition changes support clients on nutrition changes support individual on nutrition change
gas chromatography,chromatography of gas principles of gas chromatography analysis using vapourisation analysis using chromatography gas chromatography principles gas chromatography
test pharmaceutical process,using validation engineering techniques apply validation engineering using validation engineering validation engineering applying use validation engineering techniques use validation engineering applying validation engineering
entrepreneurship,entrepreneurship business initiative entrepreneurialism
use mechanically separated meat,handle mechanically separated meat utilise mechanically separated meat apply mechanically separated meat mechanically separated meat use use mechanically separated meat use of mechanically separated meat operate mechanically separated meat
manage corporate bank accounts,manage corporate bank account manage corporation bank accounts oversee corporate bank accounts maintain corporate bank accounts managing corporate bank accounts manage corporate bank accounts
develop material testing procedures,develop material examination procedures develop component testing procedures develop testing procedures for materials develop substance testing procedures develop fabric testing procedures develop material testing procedures
differentiate honey depending on the origin,differentiate honey depending on the origin differentiate honey depending on origin separate honey depending on the origin separation of  honey depending on the origin extricate honey depending on the origin
foot problems,foot problems foot problem foot disorders difficulties with feet foot difficulties foot pain pain of the feet foot issues foot issue foot difficulty
ensure quality of legislation,ensure legislation quality ensuring quality of legislation ensure quality of legislation guarantee quality of legislation certify quality of legislation keep up quality of legislation
work under supervision in care,work supervised in care work under supervision in care working under supervision work under supervision of nurses work under delegation in care work under the supervision of someone
write irish,write Gaelic write Irish Gaelic write Irish writing Irish correspond in written Irish show competency in written Irish
conduct routine machinery checks,implement standard machine inspections carry out routine machinery checks perform routine machinery checks perform standard maintenance tests on machines undertake regular inspections of machinery carry out routine checks on machinery perform standard machine tests conduct routine machinery checks conduct routine checks on machinery undertake routine machine inspections execute routine machinery checks implement standard machine checks undertake standard machinery inspections perform routine checks on machinery
inform on water supply,give information about water supply inform on water supply water supply information giving informing regarding water supply informing on water supply informing about water supply giving information about water supply
identify wood warp,identify type of wood warp wood warp identification recognising type of wood warp identifying wood warp identifying type of wood warp recognise wood warp type identify wood warp recognise wood warp wood warp type identification identification of wood warp recognising wood warp type identification of wood warp type recognising wood warp recognise type of wood warp
plan sports instruction programme,"plan sports instruction program plan general programme, plan a specific instruction sports programme plan instruction sports programme plan programme to instruct sports"
use of specialised instruments in otorhinolaryngology,"use of specialized instruments in otorhinolaryngology application of instruments for ear, nose and throat conditions application of instruments for ENT application of specialised instruments in otorhinolaryngology use of otorhinolaryngological instruments application of specialized instruments in otorhinolaryngology use of specialised otorhinolaryngology-instruments application o specialised instruments in otolaryngology use of specialized otorhinolaryngology-instruments use of specialized  instruments in otorhinolaryngology application of otorhinolaryngological instruments application of ENT-instruments"
monitor surveillance equipment,oversee inspection equipment supervise inspection equipment monitor surveillance equipment audit inspection equipment audit surveillance equipment use supervise surveillance equipment use manage surveillance equipment use manage inspection equipment oversee surveillance equipment use
issue drilling instructions,issuing instructions to drill preparing drill holes issue instructions to drill issuing drilling instructions issuing of drilling instructions drilling instruction issue prepare holes for drilling issue drilling instructions drilling instruction issuing prepare drill holes issue of drilling instructions
establish daily priorities,give daily priorities to staff establishing of daily priorities set daily priorities for staff set priorities for staff establishing daily priorities establish daily priorities set staff priorities daily establishment of priorities establishment of daily priorities
provide fitness customer care,offer fitness customer care provide fitness care to customers offer support to fitness clients provide fitness customer care provide customer care on fitness
plan allocation of space,plan allocation of space and resources plan space and resource allocation plan allocation of space plan allocating space plan space allocation
supervise religious organisations,superintend religious institutions manage religious organisations oversee religious institutions superintend religious organisations manage religious institutions monitor religious institutions monitor religious organisations supervise religious organizations oversee religious organisations
separate unstable elements in the water,detach unstable elements in the water separate unstable elements in the water separate unstable elements in water partition unstable elements in the water split unstable elements in the water isolate unstable elements in the water
manage vessel cargo activities,manage the loading and unloading of ships supervise vessel cargo activities manage vessel cargo activities manage the loading and unloading of vessels oversee vessel cargo activities manage the loading and unloading of cargo from vessels supervise ship cargo loading and unloading manage ship cargo activities supervise ship cargo activities oversee ship cargo activities supervise vessel cargo loading and unloading oversee loading and unloading of ship cargo
physical characteristics of railways,material conditions of railways physical characteristics of railroads physical aspects of railroads material features of railways physical characteristics of railways material characteristics of railways material conditions of railroads physical features of railways physical features of railroads physical aspects of railways material features of railroads
position drills,set up drills drill preparation setting up drills drill set up drill positioning positioning of drills positioning drills position drills drills positioning preparing drill prepare drill
wash costumes,wash out costumes washing costumes wash costumes wash and clean costumes wash a costume
use moulding techniques,apply moulding techniques use techniques for moulding use molding  techniques
natural gas liquids fractionation processes,fractionation processes of natural gas liquids processes of natural gas liquids fractionation working of deethaniser process of natural gas liquid fractionation fractionation process of natural gas liquid separation processes for NGLs working of butane splitter working of debutaniser working of depropaniser natural gas liquids fractionation processes
document survey operations,documenting survey operations completion and filing of survey documents survey operations documentation document survey operations documentation of survey operations documenting of survey operations complete and file survey documents survey document completion filing
prepare animal therapy equipment,prepare animal therapy equipment and materials ensure materials and equipment used in animal therapy are prepared appropriately prepare equipment used in animal therapy ready animal therapy equipment prepare animal therapy equipment perform preparation activities for animal therapy equipment and materials perform animal therapy equipment preparation activities ensure animal therapy equipment is ready for use ensure animal therapy equipment and materials are ready for use ready animal therapy equipment and materials prepare animal therapy apparatus and equipment conduct animal therapy equipment preparation activities prepare materials and equipment used in animal therapy
supervise betting shop staff,supervising betting shop's staff supervise gaming employees oversee duties carried out by betting employees supervise betting shop staff supervise staff of betting shops
create annual marketing budget,create  annual budget for marketing create marketing annual budget create annual marketing budget prepare annual marketing budget draft annual marketing budget
understand spoken romani,understand Romani speech listen to Romani interpret spoken Romani comprehend spoken Romani make sense of spoken Romani understanding spoken Romani understand spoken Romani
environmental enrichment for animals,behavioral enrichment environmental enrichment for animals in captivity environmental enrichment for an animal environmental enrichment for animals behavioural enrichment types and methods of environmental enrichment
galician,Galician ability to comprehend spoken and written Galician and to speak and write in Galician competent in Galician
operate calender machine,tending calender machine tend calender machine calender machines operating calender machines tending operate calender machine operating calender machine calender machine operating calender machine tending
fire protection engineering,fire protection engineering analysis fire protection engineering studies fire protection engineering fieldwork engineering fire protection fire protection engineering analyses fire protection engineering work fire protection engineering research fire protection engineering fire protection engineering applications
tend filing machine,monitor filing machine guard bench filing appliance monitor bench filing appliance watch over bench filing appliance tend filing machine guard filing machine oversee filing machine oversee bench filing appliance watch over filing machine
identify forged documents,examine forged documents identifying forged document identify forged documents identifying forged documents evaluate forged documents assess forged documents
screenwriting theories,screenwriting theory screenwriting concepts screenwriting theories screenwriting models screenwriting ideas screenwriting strategies
extract juices,extract fruit juices squeeze fruit juices extract juices extracted juices extract vegetable juices extracting juices
breed-specific behaviour of horses,typology of breed-specific behaviour of horses range of species-specific behaviour of horses types of breed-specific behaviour of horses range of breed-specific behaviour of horses types of species-specific behaviour of horses typology of species-specific behaviour of horses breed-specific behavior  of horses
prepare personal work environment,plan personal work environment prepare personal environment at work prepare personal work environment prepare personal work setting prepare to work in personal environment
manage test drives,supervise test drives maintain kiln test drives oversee test drives managing a test drive regulate test drives manage a test drives manage test drives managing test drives
undertake continuous professional development in fishery operations,undertake continuous professional development in fishery operations CPD undertaking in fishery operations continuous professional development undertaking in fishery operations training and development undertaking in fishery operations undertaking training and development in fishery operations undertaking continuous professional development in fishery operations undertake training and development in fishery operations undertaking CPD in fishery operations
repair mould defects,repairing defective mould repairing of mould defects repairing of mold defects repair defective molds mend moulds repair molds repair mold defects mending moulds repair mold  defects repairing mold defects mend molds mould defect repair repairing moulds mending molds repairing defective molds repairing defective mold repair moulds repair defective mould repair defective moulds mold defect repair repairing molds repair defective mold repairing mould defects repairing defective moulds
customs law,customs rules customs legislation customs statutes excise and duty regulations excise and duty rules excise and duty statutes excise and duty legislation customs law customs regulations
pack goods,pack goods pack manufactured products by hand pack manufactured products or goods in use pack goods by hand package goods
separate ink,separating ink remove ink separate inks absorb ink separate ink
follow up on safety breaches,safety breach follow-up query safety breaches Investigate safety breaches probe safety breaches scrutinize safety breaches follow up on safety breaches
show confidence,behave confidently show of confidence showing confidence demonstrate confidence display confidence show confidence exhibit confidence reveal confidence confidence showing
develop models for weather forecast,establish models for weather forecast develop models for weather forecasts develop models for weather forecast set models for weather forecast developing models for weather forecast generate models for weather forecast develop model for weather forecast create models for weather forecast
build miniature sets,building miniature sets design miniature sets build miniature sets create miniature sets assemble miniature sets construct miniature sets build miniature set
legal case management,judicial case oversight legal case regulation judicial case supervision legal case management legal case administration judicial case regulation legal case supervision legal case oversight judicial case administration
clinical cytology,"study of cells clinical cytology study of cell formation study of cell functions formation, structure and function of cells cell sciences science of cell structure"
operate industrial ovens,operating industrial ovens operate industrial ovens use an industrial ovens run an industrial oven operate an industrial oven work an industrial oven utilise an industrial ovens
intervene with actions on stage,work in connection with actions on stage intervene with actions on stage intervene with stage actions intervene with action on stage intervening with actions on stage interact with actions on stage interface with actions on stage
communicate with banking professionals,communicate with bankers communicate with investors communicate with financiers communicate with banking professionals communicate with professional bankers communicate with brokers
enable audience participation,encourage audience participation enable audience participation invite those present to participate enable the audience to participate enable participation from the audience
identify risks in aquaculture facilities,evaluating risks and hazards in aquaculture facilities identifying risks in aquaculture facilities identify risks in aquaculture facilities evaluating risks in aquaculture facilities evaluate risks and hazards in aquaculture facilities identifying risks and hazards in aquaculture facilities evaluate risks in aquaculture facilities identify risks and hazards in aquaculture facilities
assess production needs to plan a production schedule,review production needs to plan a production schedule assessing production needs to plan a production schedule look over production needs to plan a production schedule assess production needs to plan a production schedule assess production needs to plan production schedules evaluate production needs to plan a production schedule assess production needs for production schedule plan
interview people,do interviews interview groups of people ask questions and keep record of answers ask questions and evaluate answers interview people interview individuals
repair denture prostheses,repair denture prostheses modify denture prostheses repair components of denture prostheses repair denture prosthesis modify and repair components of denture prostheses
trademarks,trade mark trade-mark service marks trademarks brands
corporate social responsibility,corporate conscience CSR corporate citizenship sustainable responsible business social performance responsible business corporate social responsibility collective civil responsibility
manage animal welfare,"plan measures for animal welfare needs manage animal welfare needs monitor animal welfare needs plan application of animal welfare needs manage the health and welfare of animals be aware of animal welfare requirements manage animal welfare be aware of animal welfare requirement oversee animal welfare plan, manage and evaluate animal welfare needs"
export control principles,export control conventions export control foundations export control fundamentals export controls principles export control principles exporting control principles control export principles export control standards
define costume materials,define materials for costumes specify costume materials determine costume materials defining costume materials establish costume materials define costume materials define costume material
personal protective equipment,personal protection equipment personal protective equipment equipment for personal protection
assemble final product,assemble final product erect final product construct final product final product assembly manufacture final product assembling the final product assemble the final product build final product
analyse foreign affairs policies,scrutinise foreign affairs policies scrutinise overseas affairs policies investigate foreign affairs policies test foreign affairs policies test overseas affairs policies investigate overseas affairs policies analyze  foreign affairs policies
conduct psychological assessement,assess patients' behaviour and needs conduct psychological assessement carry out psychological assessment carry out psychological assessments do a psychological assessment assess patient's behaviour and needs conduct psychological assessments
perform surgical procedures on animals,perform surgical procedures on animals perform surgical procedure on animals carry out surgical procedure on animals apply surgical procedures on animals
develop promotional tools,developing promotional tools create promotional tools design promotional tools produce promotional tools develop tools for promotions develop promotional tools
remove mixture excess,removing excess mixture excess mixture removing taking off excess mixture take off excess mixture removing mixture excess take off mixture excess taking off mixture excess remove excess mixture remove mixture excess
building automation,automation of buildings building automation types of BAS types of building automation BMS types of building management system kinds of building automation sorts of building automation types of building automation system types of BMS building management systems typology of building automation
interview focus groups,focus groups ask focus groups consult focus groups discuss with focus groups focus group interviewer focus group interview interview focus groups
apply procedures and regulations for eco-labelling,nan
smart contract,nan
maintain game equipment,maintain game equipment game equipment maintaining game equipment repairing maintaining game equipment repair game equipment repairing game equipment
organise on-site amenities,organize on-site amenities arrange on-site amenities manage on-site amenities organise on site amenities organise amenities on-site coordinate on-site amenities organise on-site amenity organising on-site amenities
select materials for orthodontic appliances,determine material for orthodontic appliance choose material for orthodontic appliance select materials for orthodontic appliances select materials for orthodontic appliance select material for orthodontic appliances determine appropriate materials for orthodontic appliances choose materials for orthodontic appliances
determine production capacity,determine maximum production quantity determining production capacity determine number of parts or tools to be manufactured determine maximum production capacity determine maximum production scope determine manufacturing capacity determine production capacity determine the capacity of production
ensure the positioning of the patient for surgery,ensure the correct positioning of the patient for surgery position the patient for surgery correctly position the patient for surgery ensure the patient is correctly positioned for surgery ensure the positioning of the patient for surgery
advise on sustainable management policies,encourage sustainable management promoting sustainable management promote sustainable management advocate sustainable management
give out grants,give out grants allow stipends allocate stipends issue stipends allow grants issue grants provide stipends provide grants allocate grants
prescribe healthcare products,prescribe health care products write prescription for health care products prescribe healthcare products write a prescription for healthcare products prescribe healthcare product
family therapy,relationship assistance improvement of family relationships family assistance family supervision family counselling family treatment family mentoring family therapy therapeutic process for families and couples relationship therapy family counseling
select aquaculture equipment,aquaculture equipment selecting selecting aquaculture equipment identifying aquaculture equipment select aquaculture equipment aquaculture equipment identifying identify aquaculture equipment
manage licensee portofolio,maintain licensee portfolio supervise licensee portfolio manage a licensee portfolio oversee licensee portfolio managing licensee portfolios manage licensee portofolio regulate licensee portfolio manage licensee portfolios
test construction material samples,testing construction material samples test construction material samples assessing construction material samples testing of construction material assess construction material samples construction material sample-testing sample analysis of construction materials analyse construction material samples sample-testing construction materials
perform minor repairs to buildings' systems,performing minor repairs to buildings' systems perform minor repairs to buildings' system repair buildings' systems perform minor repair to buildings' systems fix buildings' systems perform minor repairs to building's systems perform minor repairs to buildings' systems make adjustments to buildings' systems
dairy and edible oil products,dairy and edible oils product dairy and edible oil product dairy and edible oil brands dairy and edible oil commodities dairy and edible oil stock dairy and edible oil merchandise dairy and edible oil products dairy and edible oil goods
forecast timber production,predict production of timber forecast lumber  production predicting production of timber timber production forecasting timber production predicting predict timber production forecast production of timber predicting timber production forecasting timber production forecasting production of timber
surveying methods,methods of surveying types of surveying methods surveying methods application of surveying methods surveying techniques remote sensing methods remote sensing techniques surveying equipment range of surveying methods range of surveying equipment
own management skills,administer management skills administer managerial skills have managerial skills own management skills utilise management skills have management skills utilise managerial skills demonstrate managerial skills demonstrate management skills
drive heavy duty trucks for snow removal,drive heavy duty truck for snow removal operate heavy duty trucks for snow removal drive heavy duty snow removal trucks operate heavy duty snow ploughs drive heavy duty snow ploughs drive heavy duty trucks for snow removal driving heavy duty trucks for snow removal
inspect aircraft cleanliness,inspect aircraft cleanliness perform inspections of aircraft cleanliness ensure cleanliness of aircraft conduct aircraft cleanliness inspections inspect cleanness of aircraft inspect aircraft cleanness carry out aircraft hygiene inspections inspect hygiene of aircraft carry out aircraft cleanliness inspections inspect aircraft hygiene conduct cleanliness inspections for aircraft inspect cleanliness of aircraft
draft tender documentation,nan
determine salaries,determine the salary fix remuneration establish salaries determining salaries determine salaries
assist at check-in,assist at check-in assist during check-in show guests around after check-in help with check-in assisting at check-in
hearing aids,characteristics of hearing devices types of hearing aids hearing aids characteristics of hearing aids types of hearing devices hearing aid
establish waste collection routes,waste collection route planning establishing waste collection routes establish waste collection routes planning waste collection routes waste collection route establishing plan waste collection routes waste collection routes planning waste collection routes establishing
approve advertising campaign,approve ad campaign approve advertising campaign endorse advertising campaign approve advertising campaigns approving advertising campaign support advertising campaign
hybrid model,Hybrid model
mould vinyl records,form vinyl records mould vinyl record moulding vinyl records mold  vinyl records shape vinyl records
arrange furniture,set up furniture in the buildings put furniture in the building in order setting up furniture in the building organise furniture in the building set up furniture in the building set up building furniture
analyse samples of food and beverages,inspect sample of food and beverages investigate sample of food and beverages evaluate sample of food and beverages test sample of food and beverages analysing food and beverages samples analyse of food and beverages sample analyze  samples of food and beverages
trim bovine hooves,cow hooves trimming trim hooves of cows trim bovine hooves bovine hooves trimming trimming bovine hooves trim hooves of bovines trimming hooves of bovines trim cow hooves trimming cow hooves trimming hooves of cows
provide opportunities for animals to express natural behaviour,present opportunities for animals to express natural behaviour create opportunities for animals to express natural behaviour provide opportunities for animals to express natural behavior provide opportunities for animal to express natural behaviour give animals opportunities to express natural behaviour providing opportunities for animals to express natural behaviour
types of boring heads,"brands of boring heads brands of drill, gouging and probing heads varieties of boring heads varieties of drill, gouging and probing heads boring heads format categories of boring heads types of boring heads categories of drill, gouging and probing heads drill, gouging and probing heads format"
personality development theories,personality development concepts personality development hypothesis psychopathology of personality development theoretical approaches in personality development personality development doctrines personality development theories personality development paradigms
analyse blood samples,look for abnormalities in blood samples analyze  blood samples interpret blood samples analyze blood-samples analyse blood-samples analyze blood samples screen blood samples
refractive power,degree of refractive power focusing power positive refractive power dioptric power optical power convergence power refractive power negative refractive power
dipping tank types,dipping tank formats dipping tank brands dipping tank types coating vat varieties coating vat categories dipping tank varieties coating vat formats dipping tank categories coating vat brands
stay up to date with social media,keep abreast of social media keep track of social media staying up to date with social media follow social media stay up to date with social media
manage obstacle control,administer erection of temporary structures that may impact airport operations execute obstacle control monitor and control erection of temporary structures that may impact aircraft perform obstacle control activities manage obstacle control supervise obstacle control handle airport temporary structure applications ensure that temporary structures do not adversely impact airport operations control erection of temporary structures that may impact aircraft conduct obstacle control activities oversee obstacle control
manufacturing of small metal parts,"manufacture of small metal parts production of small metal parts manufacturing of small metal parts small metal appliances and products manufacturing manufacturing of wire products, chain and springs fabrication of small metal appliances and products manufacture of small metal appliances and products fabrication of small metal parts production of small metal appliances and products small metal parts manufacturing"
inspect binding work,monitor binding work inspect binding works review binding work inspecting binding work check binding work inspect binding work evaluate binding work
genetic selection programme,scope of genetic selection programme methods of genetic selection genetic selection program programme of genetic selection typology of genetic selection methods used in genetic selection programme scope of genetic selection techniques used in genetic selection programme types of genetic selection
interact verbally in norwegian,be fluent in Norwegian communicate verbally in Norwegian interact verbally in Norwegian interacting verbally in Norwegian verbally interact in Norwegian speak Norwegian
create media plan,create media plan develop media plan make media plan create media plans come up with media plan creating media plan
regulate gas-firing,regulate gas-firing controlling gas-firing regulating gas-firing control gas-firing gas-firing regulating gas-firing controlling
